"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","Infl"
"Canada","1947.0000","17695.0000","15120.0000","","91445.0040","","14.0574"
"Canada","1948.0000","17190.0000","16343.0000","","93120.9720","","14.4412"
"Canada","1949.0000","16937.0000","18006.0000","13657.0000","95146.1000","","2.1826"
"Canada","1950.0000","16726.0000","21170.0000","15073.0000","102164.0000","","5.3183"
"Canada","1951.0000","16718.0000","23995.0000","18765.0000","107960.0000","","11.7117"
"Canada","1952.0000","16819.0000","25020.0000","20732.0000","115816.0000","","-1.4821"
"Canada","1953.0000","17357.0000","24871.0000","21013.0000","121228.0000","","-1.1134"
"Canada","1954.0000","17558.0000","27132.0000","22799.0000","120390.0000","","-0.3223"
"Canada","1955.0000","17561.0000","30585.0000","24278.0000","131633.0000","","0.7514"
"Canada","1956.0000","18698.0000","31909.0000","27462.0000","142282.0000","","2.5934"
"Canada","1957.0000","17962.0000","32894.0000","29248.0000","146402.0000","","1.6642"
"Canada","1958.0000","18030.0000","34915.0000","29207.0000","149021.0000","","1.7434"
"Canada","1959.0000","19708.0000","36287.0000","30958.0000","155062.0000","","1.2503"
"Canada","1960.0000","20399.0000","39.4480","33058.0000","159880.0000","","0.9526"
"Canada","1961.0000","20864.0000","41.1730","39245.0000","164598.0000","","0.6292"
"Canada","1962.0000","22775.0000","44.6650","42295.0000","176130.0000","","1.7200"
"Canada","1963.0000","24494.0000","47.9610","45661.0000","185041.0000","","1.8953"
"Canada","1964.0000","26212.0000","52.5490","50334.0000","197098.0000","","1.5694"
"Canada","1965.0000","26838.0000","57.9300","55828.0000","210203.0000","","2.5945"
"Canada","1966.0000","27738.0000","64.8180","54569.0000","223832.0000","","3.6851"
"Canada","1967.0000","29844.0000","69.6980","59700.0000","230647.0000","","3.2219"
"Canada","1968.0000","32008.0000","76.1310","63750.0000","242703.0000","","3.6668"
"Canada","1969.0000","34355.0000","83.8250","69418.0000","255497.0000","","4.6755"
"Canada","1970.0000","35820.0000","90.1790","79877.0000","262098.0000","","2.4679"
"Canada","1971.0000","39930.0000","98.4290","89105.0000","276694.0000","","2.8372"
"Canada","1972.0000","43762.0000","109.9130","98406.0000","291314.0000","","5.3437"
"Canada","1973.0000","46211.0000","128.9560","111852.0000","312176.0000","","11.4992"
"Canada","1974.0000","49057.0000","154.0380","129730.0000","324928.0000","","14.1499"
"Canada","1975.0000","55125.0000","173.6210","148702.0000","332269.0000","","9.3151"
"Canada","1976.0000","61928.0000","199.9940","170709.0000","350467.0000","","6.9640"
"Canada","1977.0000","69735.0000","220.9730","191532.0000","362245.0000","","8.4885"
"Canada","1978.0000","82355.0000","244.8770","241225.0000","376894.0000","","8.7732"
"Canada","1979.0000","100492.0000","279.5770","266107.0000","392561.0000","","9.3338"
"Canada","1980.0000","110611.0000","314.3900","314698.0000","397814.0000","1025780.0000","10.1070"
"Canada","1981.0000","127665.0000","360.4710","360827.0000","410164.0000","1041654.0000","12.4720"
"Canada","1982.0000","144505.0000","379.8590","399185.0000","397671.0000","1042956.0000","10.7690"
"Canada","1983.0000","173091.0000","411.3860","443475.0000","409246.0000","1083286.0000","5.8640"
"Canada","1984.0000","209304.0000","449.5820","498656.0000","432711.0000","1147136.0000","4.3050"
"Canada","1985.0000","250515.0000","485.7140","552432.0000","456107.0000","1208554.0000","3.9620"
"Canada","1986.0000","284037.0000","512.5410","570893.0000","468055.0000","1257350.0000","4.1950"
"Canada","1987.0000","318277.0000","558.9490","622867.0000","487138.0000","1279731.0000","4.3560"
"Canada","1988.0000","349894.0000","613.0940","652073.0000","510815.0000","1277519.0000","4.0280"
"Canada","1989.0000","379993.0000","657.7280","695771.0000","523177.0000","1290263.0000","4.9840"
"Canada","1990.0000","406606.0000","679.9210","736295.0000","524475.0000","1315133.0000","4.7800"
"Canada","1991.0000","444557.0000","685.3670","775727.0000","513291.9201","1355963.0000","5.6260"
"Canada","1992.0000","476104.0000","700.4800","797314.0000","517778.7606","1403735.0000","1.4900"
"Canada","1993.0000","514357.0000","727.1840","838297.0000","529920.6972","1442852.0000","1.8650"
"Canada","1994.0000","557604.0000","770.8730","878806.0000","555411.2016","1515736.0000","0.1360"
"Canada","1995.0000","595877.0000","810.4260","943437.0000","570868.2258","1579190.0000","2.1890"
"Canada","1996.0000","634939.0000","836.8640","1032990.0000","580059.7477","1659725.0000","1.5800"
"Canada","1997.0000","651124.0000","882.7330","1119180.0000","604681.7889","1749228.0000","1.6120"
"Canada","1998.0000","645725.0000","914.9730","1140360.0000","629755.0000","1796156.0000","0.9870"
"Canada","1999.0000","648389.0000","982.4410","1240430.0000","664604.0000","1832542.0000","1.7440"
"Canada","2000.0000","648212.0000","1076.5800","1481240.0000","699382.0000","1892165.0000","2.7380"
"Canada","2001.0000","644900.0000","1108.0500","1536890.0000","709074.0000","1929822.0000","2.5070"
"Canada","2002.0000","640526.0000","1152.9100","1532310.0000","732692.0000","1958809.0000","2.2760"
"Canada","2003.0000","629638.0000","1213.1800","1593830.0000","746491.0000","1978662.0000","2.7420"
"Canada","2004.0000","628830.0000","1290.9100","1743040.0000","769405.0000","2055120.0000","1.8410"
"Canada","2005.0000","626217.0000","1373.8500","1945720.0000","792964.0000","2111414.0000","2.2300"
"Canada","2006.0000","619701.0000","1449.2200","2159570.0000","814835.0000","2159573.0000","2.0180"
"Canada","2007.0000","618765.0000","1532.9400","2277110.0000","","2227256.0000","2.1230"
"Canada","2008.0000","594390.0000","1600.0800","2548320.0000","","2274744.0000","2.3850"
"Canada","2009.0000","719627.0000","1523.6700","2379940.0000","","2231372.0000","0.1470"
"Canada","2010.0000","","","","","2259793.0000",""
