"Country","Year","Debt","GDP1","GDP2","RGDP","dRGDP","Infl","debtgdp"
"Greece","1921","4452.9","6821.7481010497","","1439.0356782992","","",""
"Greece","1922","7386.3","10780.1345364256","","1471.5974895931","","",""
"Greece","1923","8513.9","16558.5974964937","","1309.3728943314","","",""
"Greece","1924","9287.7","20718.3443675684","","1484.05829864","","",""
"Greece","1925","9852.6","23992.2852923121","","1590.9900949246","","",""
"Greece","1926","10892.9","28217.011578032","","1634.9052914204","","",""
"Greece","1927","10536.1","30874.7845784912","","1586.2469880258","","",""
"Greece","1928","36973.3","33618.9982283825","","1729.994081722","","",""
"Greece","1929","38037.8","32387.8284625904","","1811.6524385662","","",""
"Greece","1930","38602.3","31089.9328994877","","1950.2302841523","","",""
"Greece","1931","41309.9","29751.9447587082","","1933.1820496653","","",""
"Greece","1932","43038.5","33071.9001191403","","1876.0308049727","","",""
"Greece","1933","43161","38349.9760849103","","2018.529479968","","",""
"Greece","1934","42686.5","42085.6245624427","","2197.7996860729","","",""
"Greece","1935","44985.2","44494.1881019463","","2362.8010740409","","",""
"Greece","1936","47363.3","46725.383837532","","2311.3712338684","","",""
"Greece","1937","49629.6","56570.8102169915","","2621.7628366692","","",""
"Greece","1938","51408","55688.7785173526","","2588.5724157185","","",""
"Greece","1939","52137.6","54836.3364569053","","","","",""
"Greece","1940","52746.2","","","16183","","",""
"Greece","1941","52995.6","","","13796","","",""
"Greece","1942","","","","11588","","",""
"Greece","1943","","","","9683","","",""
"Greece","1944","","","","8129","","",""
"Greece","1945","","","","6865","","",""
"Greece","1946","","","","10284","","",""
"Greece","1947","","","","13272","","",""
"Greece","1948","2473.8","21300","","13936","","",""
"Greece","1949"," ","27600","","14679","","",""
"Greece","1950","3712.8","32800","","14489","","",""
"Greece","1951","5892.5","39400","","15765","","",""
"Greece","1952","7575.5","41300","","15878","","",""
"Greece","1953","8606.5","54100","","18053","","",""
"Greece","1954","8553.2","62400","","18615","","",""
"Greece","1955","8818.4","72100","","20022","","",""
"Greece","1956","9285","83100","","21731","","",""
"Greece","1957","6680","89500","","23147","","",""
"Greece","1958","7889","93800","","24218","","",""
"Greece","1959","10096","97500","","25107","","",""
"Greece","1960","10711","105200","","26195","","",""
"Greece","1961","13161","118600","","28492","","",""
"Greece","1962","16541","126000","","29562","","",""
"Greece","1963","27090","140800","","32567","","",""
"Greece","1964","29160","158000","","35243","","",""
"Greece","1965","34260","179800","","38553","","",""
"Greece","1966","32074","200000","","40907","","",""
"Greece","1967","38703","216100","","43152","","",""
"Greece","1968","45366","234600","","46027","","",""
"Greece","1969","56722","266500","","50585","","",""
"Greece","1970","63713","338501","","54609","","3.8375609409",""
"Greece","1971","71420","375800","","58496","","3.6145870618",""
"Greece","1972","87524","435001","","65775","","5.9877645569",""
"Greece","1973","94086","568299","","68355","","18.7866436171",""
"Greece","1974","114114","652901","","65868","","13.0653909236",""
"Greece","1975","142793","785599","","69853","","14.2536616734",""
"Greece","1976","203300","977199","","74296","","10.4656806984",""
"Greece","1977","265900","1144500","","76843","","9.9234665478",""
"Greece","1978","330300","1396500","","81989","","7.9978398212",""
"Greece","1979","400900","1733000","","85015","","14.6104640864",""
"Greece","1980","511700","2080700","","86505","0.677","24.746",""
"Greece","1981","716700","2490800","","86553","-1.554","24.321",""
"Greece","1982","928381.518640382","3132800","","86895","-1.133","21.421",""
"Greece","1983","1269375.44485928","3737900","12018","87244","-1.079","19.982",""
"Greece","1984","1882914.99490692","4648800","14947","89645","2.011","18.305",""
"Greece","1985","2673409.79546141","5672100","18237","92442","2.51","19.341",""
"Greece","1986","3230397.5076524","6778000","21793","93941","0.518","23.167",""
"Greece","1987","4045828.77491623","7635400","24550","93507","-2.259","16.393",""
"Greece","1988","5821970.11675427","9290900","29873","97670","4.288","13.454",""
"Greece","1989","7270085.42533809","11042000","35504","101425","3.8","13.754",""
"Greece","1990","11869937.8186509","13327000","42850","101452","0","20.476",""
"Greece","1991","14998225.6624132","16459000","52921"," 104597.05 ","3.1","19.508",""
"Greece","1992","18572186.9063442","19027000","61177"," 105329.23 ","0.7","15.888",""
"Greece","1993","24174.3","21424000","68885"," 103643.90 ","-1.6","14.377","97.608"
"Greece","1994","28006.7","24296000","78119"," 105716.85 ","2","10.868","103.197"
"Greece","1995","31875.2","30516000","87569"," 107936.60 ","2.1","8.816","104.806"
"Greece","1996","36134.3","33528700","96251"," 110482.19 ","2.358","7.867","108.105"
"Greece","1997","38913.1","37103000","106532"," 114501.06 ","3.638","5.442","105.22"
"Greece","1998","41723.7","40344300","115886"," 118329.00 ","3.364","4.522","103.746"
"Greece","1999","44393.3","42987400","123459"," 122405.00 ","3.42","2.145","103.561"
"Greece","2000","48823.3","46437800","136281"," 127880.00 ","4.477","2.897","108.926"
"Greece","2001","155597.2","49895300","146428"," 133600.00 ","4.197","3.654","109.684"
"Greece","2002","171939.1","53366600","156615"," 138834.00 ","3.439","3.915","109.199"
"Greece","2003","183679","58755900","171410"," 145837.00 ","5.582","3.435","106.407"
"Greece","2004","202212","63315800","185851"," 152462.00 ","4.916","3.022","108.282"
"Greece","2005","216698","66571000","197645"," 158326.00 ","2.898","3.484","108.991"
"Greece","2006","227325","71714200","213207"," 168106.00 ","4.497","3.314","106.103"
"Greece","2007","240708","77158400","228180","","4.036","2.991","105.03"
"Greece","2008","262381","81487300","242946","","2.933","4.236","107.872"
"Greece","2009","58968","","246293","","-0.753","1.133"," "
"Greece","2010","","","","","-0.064","1.7",""
